SL,project_name,migration_direction,prompt_mode,set_folder_name,fold_name,model_name,avg_cosine_similarity,max_cosine_similarity,avg_crystal_bleu,max_crystal_bleu
25,sizovs_PipelinR,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.99,0.99,0.97,0.97
26,sizovs_PipelinR,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.93,0.93,0.85,0.85
27,tanersener_smart-exception,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.93,0.93,0.97,0.97
28,tanersener_smart-exception,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.77,0.77,0.75,0.75
29,yuxuanchiadm_SkyCraftUpdater,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.93,0.93,0.85,0.85
30,yuxuanchiadm_SkyCraftUpdater,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.47,0.47,0.19,0.19
31,CST-Group_cst,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.97,0.97,0.89,0.89
32,CST-Group_cst,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.89,0.89,0.84,0.84
33,Smarteon_loxone-java,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.90,0.90,0.39,0.39
34,Smarteon_loxone-java,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.78,0.78,0.63,0.63
35,WISVCH_events,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.75,0.75,0.66,0.66
36,WISVCH_events,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.05,0.05,0.03,0.03
37,bootique_bootique-logback,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.77,0.77,0.30,0.30
38,bootique_bootique-logback,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.44,0.44,0.13,0.13
39,devaneios-ifsp_turma-de-elite-backend,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.88,0.88,0.52,0.52
40,devaneios-ifsp_turma-de-elite-backend,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.78,0.78,0.78,0.78
41,elixir-cloud-aai_tesk-api,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,1.00,1.00,1.00,1.00
42,elixir-cloud-aai_tesk-api,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.91,0.91,0.85,0.85
43,future-architect_uroborosql,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.93,0.93,0.53,0.53
44,future-architect_uroborosql,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.75,0.75,0.77,0.77
45,gessnerfl_rabbitmq-queue-management,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.92,0.92,0.82,0.82
46,gessnerfl_rabbitmq-queue-management,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.93,0.93,0.84,0.84
47,hmcts_ccpay-payment-app,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.99,0.99,0.98,0.98
48,hmcts_ccpay-payment-app,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.87,0.87,0.81,0.81
49,igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.90,0.90,0.87,0.87
50,igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.58,0.58,0.74,0.74
51,jnidzwetzki_bboxdb,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.98,0.98,0.97,0.97
52,jnidzwetzki_bboxdb,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.98,0.98,0.87,0.87
53,kryptokrauts_aepp-sdk-java,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.76,0.76,0.12,0.12
54,kryptokrauts_aepp-sdk-java,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.61,0.61,0.51,0.51
55,otto-de_synapse,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.87,0.87,0.55,0.55
56,otto-de_synapse,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.42,0.42,0.17,0.17
57,sofastack_sofa-registry,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.98,0.98,0.94,0.94
58,sofastack_sofa-registry,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.96,0.96,0.85,0.85
59,vlingo_xoom-turbo,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.89,0.89,0.66,0.66
60,vlingo_xoom-turbo,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_02,gemma3_12b,0.86,0.86,0.68,0.68
61,FasterXML_jackson-jr,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.89,0.89,1.00,1.00
62,FasterXML_jackson-jr,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,1.00,1.00,0.88,0.88
63,GrowthcraftCE_Growthcraft-1.12,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.92,0.92,0.73,0.73
64,GrowthcraftCE_Growthcraft-1.12,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.59,0.59,0.33,0.33
65,OpenLiberty_guide-cloud-azure,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.98,0.98,0.90,0.90
66,OpenLiberty_guide-cloud-azure,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.93,0.93,0.86,0.86
67,PepperLola_playerinfo,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.81,0.81,0.59,0.59
68,PepperLola_playerinfo,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.89,0.89,0.82,0.82
69,TrNdy_mastodon-tracking,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,1.00,1.00,1.00,1.00
70,TrNdy_mastodon-tracking,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.93,0.93,0.88,0.88
71,alexvasilkov_GestureViews,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.93,0.93,0.48,0.48
72,alexvasilkov_GestureViews,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.75,0.75,0.71,0.71
73,azarnovdaniil_java-net-course,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.95,0.95,0.93,0.93
74,azarnovdaniil_java-net-course,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.64,0.64,0.41,0.41
75,feedzai_feedzai-openml,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.83,0.83,0.48,0.48
76,feedzai_feedzai-openml,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.88,0.88,0.51,0.51
77,io7m_jmurmur,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,1.00,1.00,0.97,0.97
78,io7m_jmurmur,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,1.00,1.00,1.00,1.00
79,nsoft_jesterj,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.93,0.93,0.88,0.88
80,nsoft_jesterj,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.92,0.92,0.86,0.86
81,playframework_play1,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,1.00,1.00,1.00,1.00
82,playframework_play1,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.78,0.78,0.76,0.76
83,radixdlt_radixdlt,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.89,0.89,0.43,0.43
84,radixdlt_radixdlt,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.79,0.79,0.73,0.73
85,reaktivity_nukleus-maven-plugin,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.99,0.99,0.98,0.98
86,reaktivity_nukleus-maven-plugin,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.95,0.95,0.89,0.89
87,reaktivity_nukleus-tcp.spec,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.99,0.99,0.98,0.98
88,reaktivity_nukleus-tcp.spec,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.95,0.95,0.89,0.89
89,sofastack_sofa-bolt,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.94,0.94,0.87,0.87
90,sofastack_sofa-bolt,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_03,gemma3_12b,0.70,0.70,0.92,0.92
91,AtomGraph_Processor,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.93,0.93,0.69,0.69
92,AtomGraph_Processor,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.86,0.86,0.68,0.68
93,MineLittlePony_BigPony,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.97,0.97,0.95,0.95
94,MineLittlePony_BigPony,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.62,0.62,0.66,0.66
95,fiji_Cell_Counter,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.94,0.94,0.62,0.62
96,fiji_Cell_Counter,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,1.00,1.00,1.00,1.00
97,fiji_KymographBuilder,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.94,0.94,0.38,0.38
98,fiji_KymographBuilder,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,1.00,1.00,0.94,0.94
99,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.97,0.97,0.81,0.81
100,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.93,0.93,0.17,0.17
101,ibissource_iaf,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.89,0.89,0.65,0.65
102,ibissource_iaf,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.81,0.81,0.40,0.40
103,io7m_jproperties,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.97,0.97,0.93,0.93
104,io7m_jproperties,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.88,0.88,0.88,0.88
105,io7m_jsx,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.97,0.97,0.94,0.94
106,io7m_jsx,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.93,0.93,0.91,0.91
107,jenkinsci_jira-plugin,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.91,0.91,0.83,0.83
108,jenkinsci_jira-plugin,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.77,0.77,0.74,0.74
109,michaelliao_itranswarp,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.97,0.97,0.94,0.94
110,michaelliao_itranswarp,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.90,0.90,0.77,0.77
111,princesslana_smalld,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.82,0.82,0.58,0.58
112,princesslana_smalld,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.52,0.52,0.51,0.51
113,qos-ch_slf4j,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.92,0.92,0.75,0.75
114,qos-ch_slf4j,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.59,0.59,0.25,0.25
115,selenide_selenide,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.79,0.79,0.07,0.07
116,selenide_selenide,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.80,0.80,0.76,0.76
117,splitio_android-client,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.95,0.95,0.74,0.74
118,splitio_android-client,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.89,0.89,0.65,0.65
119,wte4j_wte4j,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.79,0.79,0.78,0.78
120,wte4j_wte4j,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_04,gemma3_12b,0.33,0.33,0.58,0.58
121,AuScope_NVCLAnalyticalServices,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.80,0.80,0.56,0.56
122,AuScope_NVCLAnalyticalServices,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.97,0.97,0.91,0.91
123,Gepardec_Hogarama,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.95,0.95,0.89,0.89
124,Gepardec_Hogarama,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.86,0.86,0.73,0.73
125,MilkBowl_VaultAPI,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.79,0.79,0.87,0.87
126,MilkBowl_VaultAPI,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.54,0.54,0.65,0.65
127,NetLogo_Matrix-Extension,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.96,0.96,0.86,0.86
128,NetLogo_Matrix-Extension,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.86,0.86,0.61,0.61
129,anand1st_sshd-shell-spring-boot,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.90,0.90,0.73,0.73
130,anand1st_sshd-shell-spring-boot,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.88,0.88,0.73,0.73
131,dhatim_safesql,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.78,0.78,0.27,0.27
132,dhatim_safesql,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.81,0.81,0.64,0.64
133,dogtagpki_jss,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.92,0.92,0.73,0.73
134,dogtagpki_jss,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.93,0.93,0.73,0.73
135,kaklakariada_portmapper,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.85,0.85,0.71,0.71
136,kaklakariada_portmapper,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.78,0.78,0.70,0.70
137,mendhak_gpslogger,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.86,0.86,0.70,0.70
138,mendhak_gpslogger,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.84,0.84,0.37,0.37
139,opencadc_cadc-target-resolver,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.89,0.89,0.73,0.73
140,opencadc_cadc-target-resolver,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.96,0.96,0.92,0.92
141,otavanopisto_muikku,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.91,0.91,0.71,0.71
142,otavanopisto_muikku,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.65,0.65,0.57,0.57
143,sockeqwe_AdapterDelegates,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.94,0.94,0.87,0.87
144,sockeqwe_AdapterDelegates,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.68,0.68,0.53,0.53
145,tdebatty_java-string-similarity,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.98,0.98,0.92,0.92
146,tdebatty_java-string-similarity,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.88,0.88,0.80,0.80
147,vert-x3_vertx-web,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.74,0.74,0.24,0.24
148,vert-x3_vertx-web,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.33,0.33,0.36,0.36
149,xerial_sqlite-jdbc,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.60,0.60,0.63,0.63
150,xerial_sqlite-jdbc,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_05,gemma3_12b,0.66,0.66,0.36,0.36
151,MineLittlePony_HDSkins,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.98,0.98,0.95,0.95
152,MineLittlePony_HDSkins,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.97,0.97,0.93,0.93
153,OpenLiberty_guide-arquillian-managed,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.83,0.83,0.79,0.79
154,OpenLiberty_guide-arquillian-managed,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.77,0.77,0.53,0.53
155,adobe_experience-platform-streaming-connect,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.98,0.98,0.93,0.93
156,adobe_experience-platform-streaming-connect,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.76,0.76,0.49,0.49
157,albertus82_cyclesmod,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.75,0.75,0.06,0.06
158,albertus82_cyclesmod,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.64,0.64,0.41,0.41
159,anastaciocintra_escpos-coffee,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.86,0.86,0.85,0.85
160,anastaciocintra_escpos-coffee,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.92,0.92,0.87,0.87
161,cryptomator_dokany-nio-adapter,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.92,0.92,0.78,0.78
162,cryptomator_dokany-nio-adapter,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.85,0.85,0.71,0.71
163,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.79,0.79,0.31,0.31
164,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.65,0.65,0.37,0.37
165,fiji_SPIM_Registration,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.94,0.94,0.68,0.68
166,fiji_SPIM_Registration,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.99,0.99,0.86,0.86
167,fiji_pQCT,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.94,0.94,0.97,0.97
168,fiji_pQCT,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,1.00,1.00,0.94,0.94
169,gotify_android,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.81,0.81,0.53,0.53
170,gotify_android,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.88,0.88,0.80,0.80
171,io7m_jcamera,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.87,0.87,0.72,0.72
172,io7m_jcamera,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.84,0.84,0.60,0.60
173,kordamp_ikonli,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.91,0.91,0.79,0.79
174,kordamp_ikonli,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.79,0.79,0.66,0.66
175,redhat-developer_quarkus-ls,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.92,0.92,0.83,0.83
176,redhat-developer_quarkus-ls,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.92,0.92,0.86,0.86
177,renyuneyun_Easer,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.85,0.85,0.56,0.56
178,renyuneyun_Easer,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.44,0.44,0.34,0.34
179,uw-loci_misc-plugins,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.91,0.91,0.97,0.97
180,uw-loci_misc-plugins,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_06,gemma3_12b,0.66,0.66,0.77,0.77
181,CodelyTV_java-basic-skeleton,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.94,0.94,0.87,0.87
182,CodelyTV_java-basic-skeleton,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.81,0.81,0.82,0.82
183,Coolerfall_Android-HttpDownloadManager,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.96,0.96,0.91,0.91
184,Coolerfall_Android-HttpDownloadManager,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.83,0.83,0.79,0.79
185,JetBrains_jediterm,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,1.00,1.00,1.00,1.00
186,JetBrains_jediterm,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.88,0.88,0.67,0.67
187,OHNLP_MedTagger,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.71,0.71,0.48,0.48
188,OHNLP_MedTagger,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.61,0.61,0.55,0.55
189,Pi4J_pi4j-v2,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.92,0.92,0.89,0.89
190,Pi4J_pi4j-v2,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_07,gemma3_12b,0.91,0.91,0.85,0.85
