project,direction,mode,category,valid_yaml,input_lines,output_lines
cryptomator_dokany-nio-adapter,travis_to_gha,few-shot,markdown_fence_with_preamble,False,28,43
cryptomator_dokany-nio-adapter,gha_to_travis,few-shot,markdown_fence_with_preamble,False,64,37
devaneios-ifsp_turma-de-elite-backend,travis_to_gha,few-shot,markdown_fence_with_preamble,False,31,51
devaneios-ifsp_turma-de-elite-backend,gha_to_travis,few-shot,markdown_fence_with_preamble,False,70,79
dhatim_safesql,travis_to_gha,few-shot,markdown_fence_with_preamble,False,29,49
dhatim_safesql,gha_to_travis,few-shot,markdown_fence_with_preamble,False,67,43
dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,few-shot,markdown_fence_with_preamble,False,57,55
dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,few-shot,input_echo_not_migrated,False,110,76
dogtagpki_jss,travis_to_gha,few-shot,input_echo_not_migrated,False,22,43
dogtagpki_jss,gha_to_travis,few-shot,markdown_fence_with_preamble,False,41,18
eclipse_lemminx,travis_to_gha,few-shot,markdown_fence_with_preamble,False,21,40
eclipse_lemminx,gha_to_travis,few-shot,markdown_fence_with_preamble,False,25,18
elixir-cloud-aai_tesk-api,travis_to_gha,few-shot,few_shot_example_echo,False,9,31
elixir-cloud-aai_tesk-api,gha_to_travis,few-shot,markdown_fence_with_preamble,False,28,24
encircled_Joiner,travis_to_gha,few-shot,few_shot_example_echo,False,6,23
encircled_Joiner,gha_to_travis,few-shot,few_shot_example_echo,False,26,31
feedzai_feedzai-openml,travis_to_gha,few-shot,few_shot_example_echo,False,22,35
feedzai_feedzai-openml,gha_to_travis,few-shot,input_echo_not_migrated,False,62,55
fiji_Cell_Counter,travis_to_gha,few-shot,duplicate_or_hallucinated_keys,False,12,34
fiji_Cell_Counter,gha_to_travis,few-shot,input_echo_not_migrated,False,35,31
fiji_KymographBuilder,travis_to_gha,few-shot,duplicate_or_hallucinated_keys,False,12,34
fiji_KymographBuilder,gha_to_travis,few-shot,input_echo_not_migrated,False,35,31
fiji_SPIM_Registration,travis_to_gha,few-shot,markdown_fence_with_preamble,False,17,39
fiji_SPIM_Registration,gha_to_travis,few-shot,input_echo_not_migrated,False,37,32
fiji_VIB-lib,travis_to_gha,few-shot,duplicate_or_hallucinated_keys,False,12,34
fiji_VIB-lib,gha_to_travis,few-shot,input_echo_not_migrated,False,35,31
fiji_cookbook,travis_to_gha,few-shot,duplicate_or_hallucinated_keys,False,12,34
fiji_cookbook,gha_to_travis,few-shot,input_echo_not_migrated,False,35,31
fiji_pQCT,travis_to_gha,few-shot,markdown_fence_with_preamble,False,11,35
fiji_pQCT,gha_to_travis,few-shot,input_echo_not_migrated,False,34,20
future-architect_uroborosql,travis_to_gha,few-shot,markdown_fence_with_preamble,False,24,44
future-architect_uroborosql,gha_to_travis,few-shot,markdown_fence_with_preamble,False,63,49
gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,few-shot,markdown_fence_with_preamble,False,19,26
gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,few-shot,markdown_fence_with_preamble,False,28,19
gessnerfl_rabbitmq-queue-management,travis_to_gha,few-shot,markdown_fence_with_preamble,False,10,29
gessnerfl_rabbitmq-queue-management,gha_to_travis,few-shot,input_echo_not_migrated,False,34,29
gotify_android,travis_to_gha,few-shot,markdown_fence_with_preamble,False,54,56
gotify_android,gha_to_travis,few-shot,markdown_fence_with_preamble,False,87,52
hmcts_ccpay-payment-app,travis_to_gha,few-shot,markdown_fence_with_preamble,False,19,43
hmcts_ccpay-payment-app,gha_to_travis,few-shot,markdown_fence_with_preamble,False,33,24
ibissource_iaf,travis_to_gha,few-shot,few_shot_example_echo,False,25,42
ibissource_iaf,gha_to_travis,few-shot,markdown_fence_with_preamble,False,27,22
ical4j_ical4j-connector,travis_to_gha,few-shot,markdown_fence_with_preamble,False,23,44
ical4j_ical4j-connector,gha_to_travis,few-shot,few_shot_example_echo,False,69,50
igniterealtime_openfire-xmldebugger-plugin,travis_to_gha,few-shot,markdown_fence_with_preamble,False,17,37
igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,48,23
imglib_imglib2,travis_to_gha,few-shot,markdown_fence_with_preamble,False,11,35
imglib_imglib2,gha_to_travis,few-shot,input_echo_not_migrated,False,32,22
imglib_imglib2-tutorials,travis_to_gha,few-shot,markdown_fence_with_preamble,False,17,39
imglib_imglib2-tutorials,gha_to_travis,few-shot,input_echo_not_migrated,False,37,33
inferno-framework_fhir-validator-wrapper,travis_to_gha,few-shot,markdown_fence_with_preamble,False,22,40
inferno-framework_fhir-validator-wrapper,gha_to_travis,few-shot,markdown_fence_with_preamble,False,43,85
io7m_jcamera,travis_to_gha,few-shot,markdown_fence_with_preamble,False,20,36
io7m_jcamera,gha_to_travis,few-shot,markdown_fence_with_preamble,False,34,31
io7m_jmurmur,travis_to_gha,few-shot,few_shot_example_echo,False,13,32
io7m_jmurmur,gha_to_travis,few-shot,markdown_fence_with_preamble,False,37,30
io7m_jproperties,travis_to_gha,few-shot,few_shot_example_echo,False,13,33
io7m_jproperties,gha_to_travis,few-shot,markdown_fence_with_preamble,False,39,41
io7m_jsx,travis_to_gha,few-shot,few_shot_example_echo,False,13,33
io7m_jsx,gha_to_travis,few-shot,input_echo_not_migrated,False,39,44
ipregistry_ipregistry-java,travis_to_gha,few-shot,markdown_fence_with_preamble,False,19,37
ipregistry_ipregistry-java,gha_to_travis,few-shot,markdown_fence_with_preamble,False,26,19
jakubplichta_git-changelog-maven-plugin,travis_to_gha,few-shot,markdown_fence_with_preamble,False,9,32
jakubplichta_git-changelog-maven-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,32,35
jbee_silk,travis_to_gha,few-shot,few_shot_example_echo,False,7,25
jbee_silk,gha_to_travis,few-shot,markdown_fence_with_preamble,False,26,16
jboss_tyr,travis_to_gha,few-shot,markdown_fence_with_preamble,False,4,22
jboss_tyr,gha_to_travis,few-shot,markdown_fence_with_preamble,False,19,15
jenkinsci_jira-plugin,travis_to_gha,few-shot,markdown_fence_with_preamble,False,29,48
jenkinsci_jira-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,56,34
jeremylong_DependencyCheck,travis_to_gha,few-shot,markdown_fence_with_preamble,False,30,44
jeremylong_DependencyCheck,gha_to_travis,few-shot,markdown_fence_with_preamble,False,79,40
jnidzwetzki_bboxdb,travis_to_gha,few-shot,few_shot_example_echo,False,34,47
jnidzwetzki_bboxdb,gha_to_travis,few-shot,input_echo_not_migrated,False,52,36
junit-team_junit5,travis_to_gha,few-shot,few_shot_example_echo,False,63,58
junit-team_junit5,gha_to_travis,few-shot,valid_yaml,True,128,48
jwtk_jjwt,travis_to_gha,few-shot,markdown_fence_with_preamble,False,36,43
jwtk_jjwt,gha_to_travis,few-shot,markdown_fence_with_preamble,False,63,44
kaklakariada_portmapper,travis_to_gha,few-shot,markdown_fence_with_preamble,False,26,40
kaklakariada_portmapper,gha_to_travis,few-shot,markdown_fence_with_preamble,False,38,32
knowm_Yank,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,49
knowm_Yank,gha_to_travis,few-shot,markdown_fence_with_preamble,False,41,30
komoot_photon,travis_to_gha,few-shot,few_shot_example_echo,False,9,26
komoot_photon,gha_to_travis,few-shot,markdown_fence_with_preamble,False,25,20
kordamp_ikonli,travis_to_gha,few-shot,markdown_fence_with_preamble,False,17,37
kordamp_ikonli,gha_to_travis,few-shot,markdown_fence_with_preamble,False,35,25
kryptokrauts_aepp-sdk-java,travis_to_gha,few-shot,markdown_fence_with_preamble,False,63,67
kryptokrauts_aepp-sdk-java,gha_to_travis,few-shot,markdown_fence_with_preamble,False,157,104
line_decaton,travis_to_gha,few-shot,markdown_fence_with_preamble,False,14,35
line_decaton,gha_to_travis,few-shot,markdown_fence_with_preamble,False,29,19
linkedin_avro-util,travis_to_gha,few-shot,markdown_fence_with_preamble,False,42,52
linkedin_avro-util,gha_to_travis,few-shot,markdown_fence_with_preamble,False,51,29
mate-academy_hibernate-configuration-hw,travis_to_gha,few-shot,markdown_fence_with_preamble,False,8,30
mate-academy_hibernate-configuration-hw,gha_to_travis,few-shot,markdown_fence_with_preamble,False,20,15
mendhak_gpslogger,travis_to_gha,few-shot,markdown_fence_with_preamble,False,52,54
mendhak_gpslogger,gha_to_travis,few-shot,markdown_fence_with_preamble,False,49,56
michaelliao_itranswarp,travis_to_gha,few-shot,markdown_fence_with_preamble,False,7,27
michaelliao_itranswarp,gha_to_travis,few-shot,markdown_fence_with_preamble,False,27,26
micheljung_nocatch,travis_to_gha,few-shot,markdown_fence_with_preamble,False,24,42
micheljung_nocatch,gha_to_travis,few-shot,markdown_fence_with_preamble,False,61,68
miho_VTCC,travis_to_gha,few-shot,few_shot_example_echo,False,19,30
miho_VTCC,gha_to_travis,few-shot,markdown_fence_with_preamble,False,33,31
minio_minio-java,travis_to_gha,few-shot,few_shot_example_echo,False,12,36
minio_minio-java,gha_to_travis,few-shot,input_echo_not_migrated,False,43,27
msmobility_silo,travis_to_gha,few-shot,markdown_fence_with_preamble,False,7,29
msmobility_silo,gha_to_travis,few-shot,markdown_fence_with_preamble,False,31,24
neo4j-contrib_neo4j-jdbc,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,24
neo4j-contrib_neo4j-jdbc,gha_to_travis,few-shot,markdown_fence_with_preamble,False,29,31
nhl_dflib,travis_to_gha,few-shot,markdown_fence_with_preamble,False,27,66
nhl_dflib,gha_to_travis,few-shot,markdown_fence_with_preamble,False,57,44
nkonev_blog,travis_to_gha,few-shot,few_shot_example_echo,False,42,53
nkonev_blog,gha_to_travis,few-shot,markdown_fence_with_preamble,False,104,61
nsoft_jesterj,travis_to_gha,few-shot,few_shot_example_echo,False,17,39
nsoft_jesterj,gha_to_travis,few-shot,markdown_fence_with_preamble,False,49,29
opencadc_cadc-target-resolver,travis_to_gha,few-shot,markdown_fence_with_preamble,False,32,52
opencadc_cadc-target-resolver,gha_to_travis,few-shot,markdown_fence_with_preamble,False,114,47
orien_bean-matchers,travis_to_gha,few-shot,few_shot_example_echo,False,5,22
orien_bean-matchers,gha_to_travis,few-shot,few_shot_example_echo,False,29,41
otavanopisto_muikku,travis_to_gha,few-shot,markdown_fence_with_preamble,False,34,50
otavanopisto_muikku,gha_to_travis,few-shot,markdown_fence_with_preamble,False,52,47
otto-de_synapse,travis_to_gha,few-shot,few_shot_example_echo,False,33,43
otto-de_synapse,gha_to_travis,few-shot,duplicate_or_hallucinated_keys,False,90,55
parse-community_Parse-SDK-Android,travis_to_gha,few-shot,markdown_fence_with_preamble,False,26,46
parse-community_Parse-SDK-Android,gha_to_travis,few-shot,markdown_fence_with_preamble,False,68,61
playframework_play1,travis_to_gha,few-shot,markdown_fence_with_preamble,False,6,77
playframework_play1,gha_to_travis,few-shot,markdown_fence_with_preamble,False,36,44
primefaces-extensions_primefaces-integration-tests,travis_to_gha,few-shot,markdown_fence_with_preamble,False,28,46
primefaces-extensions_primefaces-integration-tests,gha_to_travis,few-shot,markdown_fence_with_preamble,False,91,26
princesslana_smalld,travis_to_gha,few-shot,few_shot_example_echo,False,34,55
princesslana_smalld,gha_to_travis,few-shot,few_shot_example_echo,False,58,61
qlefevre_crud-admin-spring-boot-starter,travis_to_gha,few-shot,markdown_fence_with_preamble,False,8,29
qlefevre_crud-admin-spring-boot-starter,gha_to_travis,few-shot,markdown_fence_with_preamble,False,36,31
qos-ch_slf4j,travis_to_gha,few-shot,markdown_fence_with_preamble,False,11,31
qos-ch_slf4j,gha_to_travis,few-shot,markdown_fence_with_preamble,False,26,58
radixdlt_radixdlt,travis_to_gha,few-shot,markdown_fence_with_preamble,False,35,48
radixdlt_radixdlt,gha_to_travis,few-shot,markdown_fence_with_preamble,False,52,44
ralscha_xodus-queue,travis_to_gha,few-shot,markdown_fence_with_preamble,False,14,35
ralscha_xodus-queue,gha_to_travis,few-shot,markdown_fence_with_preamble,False,36,23
reaktivity_nukleus-http.java,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,30
reaktivity_nukleus-http.java,gha_to_travis,few-shot,markdown_fence_with_preamble,False,32,16
reaktivity_nukleus-maven-plugin,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,30
reaktivity_nukleus-maven-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,29,18
reaktivity_nukleus-tcp.spec,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,30
reaktivity_nukleus-tcp.spec,gha_to_travis,few-shot,markdown_fence_with_preamble,False,29,18
redhat-developer_quarkus-ls,travis_to_gha,few-shot,markdown_fence_with_preamble,False,19,50
redhat-developer_quarkus-ls,gha_to_travis,few-shot,markdown_fence_with_preamble,False,36,32
renyuneyun_Easer,travis_to_gha,few-shot,few_shot_example_echo,False,59,44
renyuneyun_Easer,gha_to_travis,few-shot,markdown_fence_with_preamble,False,71,47
saucelabs_ci-sauce,travis_to_gha,few-shot,markdown_fence_with_preamble,False,9,27
saucelabs_ci-sauce,gha_to_travis,few-shot,markdown_fence_with_preamble,False,25,16
selenide_selenide,travis_to_gha,few-shot,markdown_fence_with_preamble,False,49,56
selenide_selenide,gha_to_travis,few-shot,markdown_fence_with_preamble,False,197,31
sizovs_PipelinR,travis_to_gha,few-shot,few_shot_example_echo,False,10,18
sizovs_PipelinR,gha_to_travis,few-shot,few_shot_example_echo,False,25,25
societe-generale_arch-unit-build-plugin-core,travis_to_gha,few-shot,markdown_fence_with_preamble,False,35,49
societe-generale_arch-unit-build-plugin-core,gha_to_travis,few-shot,markdown_fence_with_preamble,False,58,42
sockeqwe_AdapterDelegates,travis_to_gha,few-shot,markdown_fence_with_preamble,False,33,47
sockeqwe_AdapterDelegates,gha_to_travis,few-shot,markdown_fence_with_preamble,False,42,27
sofastack_sofa-bolt,travis_to_gha,few-shot,few_shot_example_echo,False,24,40
sofastack_sofa-bolt,gha_to_travis,few-shot,markdown_fence_with_preamble,False,58,40
sofastack_sofa-registry,travis_to_gha,few-shot,few_shot_example_echo,False,15,29
sofastack_sofa-registry,gha_to_travis,few-shot,few_shot_example_echo,False,28,19
spigotplugins_fakeplayer,travis_to_gha,few-shot,markdown_fence_with_preamble,False,4,23
spigotplugins_fakeplayer,gha_to_travis,few-shot,markdown_fence_with_preamble,False,19,15
splitio_android-client,travis_to_gha,few-shot,markdown_fence_with_preamble,False,19,32
splitio_android-client,gha_to_travis,few-shot,markdown_fence_with_preamble,False,34,35
spring-cloud_spring-cloud-zookeeper,travis_to_gha,few-shot,markdown_fence_with_preamble,False,25,43
spring-cloud_spring-cloud-zookeeper,gha_to_travis,few-shot,markdown_fence_with_preamble,False,49,50
tanersener_smart-exception,travis_to_gha,few-shot,markdown_fence_with_preamble,False,20,37
tanersener_smart-exception,gha_to_travis,few-shot,markdown_fence_with_preamble,False,36,38
tdebatty_java-string-similarity,travis_to_gha,few-shot,markdown_fence_with_preamble,False,5,23
tdebatty_java-string-similarity,gha_to_travis,few-shot,markdown_fence_with_preamble,False,25,29
tdf_odftoolkit,travis_to_gha,few-shot,markdown_fence_with_preamble,False,15,33
tdf_odftoolkit,gha_to_travis,few-shot,markdown_fence_with_preamble,False,19,23
thepieterdc_dodona-plugin-jetbrains,travis_to_gha,few-shot,markdown_fence_with_preamble,False,5,22
thepieterdc_dodona-plugin-jetbrains,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,16
tsandmann_ct-sim,travis_to_gha,few-shot,markdown_fence_with_preamble,False,18,34
tsandmann_ct-sim,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,19
tsjensen_sercoll,travis_to_gha,few-shot,input_echo_not_migrated,False,46,70
tsjensen_sercoll,gha_to_travis,few-shot,markdown_fence_with_preamble,False,42,29
typetools_guava,travis_to_gha,few-shot,markdown_fence_with_preamble,False,36,47
typetools_guava,gha_to_travis,few-shot,markdown_fence_with_preamble,False,65,45
utarwyn_SuperJukebox,travis_to_gha,few-shot,markdown_fence_with_preamble,False,23,50
utarwyn_SuperJukebox,gha_to_travis,few-shot,markdown_fence_with_preamble,False,39,28
uw-loci_misc-plugins,travis_to_gha,few-shot,duplicate_or_hallucinated_keys,False,12,34
uw-loci_misc-plugins,gha_to_travis,few-shot,input_echo_not_migrated,False,33,25
vert-x3_vertx-bridge-common,travis_to_gha,few-shot,markdown_fence_with_preamble,False,25,39
vert-x3_vertx-bridge-common,gha_to_travis,few-shot,input_echo_not_migrated,False,63,41
vert-x3_vertx-web,travis_to_gha,few-shot,markdown_fence_with_preamble,False,44,69
vert-x3_vertx-web,gha_to_travis,few-shot,input_echo_not_migrated,False,121,40
vlingo_xoom-turbo,travis_to_gha,few-shot,markdown_fence_with_preamble,False,32,61
vlingo_xoom-turbo,gha_to_travis,few-shot,markdown_fence_with_preamble,False,47,43
wcm-io-devops_conga-sling-plugin,travis_to_gha,few-shot,few_shot_example_echo,False,25,39
wcm-io-devops_conga-sling-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,40,14
wte4j_wte4j,travis_to_gha,few-shot,markdown_fence_with_preamble,False,6,32
wte4j_wte4j,gha_to_travis,few-shot,markdown_fence_with_preamble,False,30,27
xenit-eu_alfresco-docker-gradle-plugin,travis_to_gha,few-shot,input_echo_not_migrated,False,48,51
xenit-eu_alfresco-docker-gradle-plugin,gha_to_travis,few-shot,markdown_fence_with_preamble,False,72,41
xerial_sqlite-jdbc,travis_to_gha,few-shot,valid_yaml,True,12,22
xerial_sqlite-jdbc,gha_to_travis,few-shot,markdown_fence_with_preamble,False,30,23
xuxueli_xxl-job,travis_to_gha,few-shot,markdown_fence_with_preamble,False,5,21
xuxueli_xxl-job,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,25
yuxuanchiadm_SkyCraftUpdater,travis_to_gha,few-shot,markdown_fence_with_preamble,False,6,19
yuxuanchiadm_SkyCraftUpdater,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,16
AtomGraph_Processor,travis_to_gha,zero-shot,valid_yaml,True,33,71
AtomGraph_Processor,gha_to_travis,zero-shot,markdown_fence_only,False,59,35
AuScope_NVCLAnalyticalServices,travis_to_gha,zero-shot,valid_yaml,True,15,54
AuScope_NVCLAnalyticalServices,gha_to_travis,zero-shot,duplicate_or_hallucinated_keys,False,30,83
AxonIQ_axonserver-connector-java,travis_to_gha,zero-shot,markdown_fence_only,False,21,36
