setting,project,direction,model,service,file_path,yaml_parsed,external_ok,yaml_score,external_score,external_tool,external_pass_count,external_total_count,actionlint_ok,travis_lint_ok,score,messages
Zero-Shot,AtomGraph_Processor,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml"", line 25, column 5 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml"", line 26, column 3 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml is not valid YAML: (<unknown>): could not find expected ':' while scanning a simple key at line 25 column 5"
Zero-Shot,AtomGraph_Processor,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 33, column 1 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): found character that cannot start any token while scanning for the next token at line 33 column 1"
Zero-Shot,AtomGraph_Processor,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Zero-Shot,AtomGraph_Processor,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml: / [x] [error] on root: duplicate key: before_script / [x] [error] on language: dropping unknown value: ubuntu / [x] [error] on deploy: missing required key: provider / [x] [error] on jobs.include.git: dropping unexpected seq, expected map ([git-${{ matrix.git.version }}]) / [x] [warn] on jobs.include.jdk: unexpected sequence, using the first value (openjdk11)"
Fine-Tuned,AtomGraph_Processor,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_04/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Fine-Tuned,AtomGraph_Processor,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_04/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_04/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml: / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)
Few-Shot,AtomGraph_Processor,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml"", line 34, column 9 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml"", line 34, column 12 | [actionlint rc=1] actions.yml:34:0: could not parse as YAML: yaml: line 34: could not find expected ':' [syntax-check] /    | / 34 |         run /    |"
Few-Shot,AtomGraph_Processor,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml"", line 3, column 1 | [actionlint rc=1] actions.yml:3:0: could not parse as YAML: yaml: line 3: found character that cannot start any token [syntax-check] /   | / 3 | ```yaml /   |"
Few-Shot,AtomGraph_Processor,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,False,1.0,0.0,actionlint,0,1,False,,0.5,"[actionlint rc=1] actions.yml:38:5: unexpected key ""notifications"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"" [syntax-check] /    | / 38 |     notifications: /    |     ^~~~~~~~~~~~~~"
Few-Shot,AtomGraph_Processor,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,True,False,1.0,0.0,actionlint,0,1,False,,0.5,"[actionlint rc=1] actions.yml:5:5: expecting a single ${{...}} expression or mapping value for ""env"" section, but found plain text node [syntax-check] /   | / 5 | env: /   |     ^ / actions.yml:12:7: ""services"" section is scalar node but mapping node is expected [syntax-check] /    | / 12 |       docker /    |       ^~~~~~"
Few-Shot,AtomGraph_Processor,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while parsing a block mapping /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml"", line 17, column 5 / expected <block end>, but found '-' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml"", line 18, column 5 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml is not valid YAML: (<unknown>): did not find expected key while parsing a block mapping at line 17 column 5"
Few-Shot,AtomGraph_Processor,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning for the next token / found character '`' that cannot start any token /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 3, column 1 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): found character that cannot start any token while scanning for the next token at line 3 column 1"
Few-Shot,AtomGraph_Processor,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] valid
Few-Shot,AtomGraph_Processor,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FewShot/AtomGraph_Processor/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml: / [x] [warn] on root: deprecated key: sudo (The key `sudo` has no effect anymore.)
CIMig,AuScope_NVCLAnalyticalServices,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/03_CIMig_Travis_to_GHA/AuScope_NVCLAnalyticalServices_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/03_CIMig_Travis_to_GHA/AuScope_NVCLAnalyticalServices_original.yml"", line 5, column 7 | [actionlint rc=1] AuScope_NVCLAnalyticalServices_original.yml:5:0: could not parse as YAML: yaml: line 5: mapping values are not allowed in this context [syntax-check] /   | / 5 |   push: /   |"
CIMig,AuScope_NVCLAnalyticalServices,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/04_CIMig_GHA_to_Travis/AuScope_NVCLAnalyticalServices_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/04_CIMig_GHA_to_Travis/AuScope_NVCLAnalyticalServices_travis.yml"", line 6, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AuScope_NVCLAnalyticalServices/04_CIMig_GHA_to_Travis/AuScope_NVCLAnalyticalServices_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 6 column 9"
Zero-Shot,AuScope_NVCLAnalyticalServices,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,AuScope_NVCLAnalyticalServices,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,AuScope_NVCLAnalyticalServices,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,AuScope_NVCLAnalyticalServices,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 66, column 11 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 66, column 16 | [actionlint rc=1] actions.yml:66:0: could not parse as YAML: yaml: line 66: could not find expected ':' [syntax-check] /    | / 66 |           token /    |"
Zero-Shot,AuScope_NVCLAnalyticalServices,gha_to_travis,gemma3_12b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml"", line 33, column 27 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/gemma3_12b/travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 33 column 27"
Zero-Shot,AuScope_NVCLAnalyticalServices,gha_to_travis,llama3_1_8b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 18, column 3 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml"", line 20, column 1 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/llama3_1_8b/travis.yml is not valid YAML: (<unknown>): could not find expected ':' while scanning a simple key at line 18 column 3"
Zero-Shot,AuScope_NVCLAnalyticalServices,gha_to_travis,gpt-4o,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml,True,True,1.0,1.0,travis lint,1,1,,True,1.0,"[travis lint rc=0] Warnings for /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/gpt-4o/travis.yml: / [x] [warn] on deploy: deprecated key: skip_cleanup (not supported in dpl v2, use cleanup)"
Zero-Shot,AuScope_NVCLAnalyticalServices,gha_to_travis,mistral_7b,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml"", line 24, column 17 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AuScope_NVCLAnalyticalServices/04_CIgrate_GHA_to_Travis/mistral_7b/travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 24 column 17"
Fine-Tuned,AuScope_NVCLAnalyticalServices,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_FineTuned/Set_90_10_V_05/AuScope_NVCLAnalyticalServices/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=1] actions.yml:21:9: shellcheck reported issue in this script: SC2086:info:3:65: Double quote to prevent globbing and word splitting [shellcheck] /    | / 21 |         run: | /    |         ^~~~
